date,collected_total,collected_A,collected_B,collected_O,collected_AB,team_total,Individual_donate,demand_total,demand_A,demand_B,demand_O,demand_AB,supply_total,supply_A,supply_B,supply_O,supply_AB,platelet_collection,platelet_collection_tx_units,platelet_collection_A,platelet_collection_B,platelet_collection_O,platelet_collection_AB,platelet_supply,platelet_supply_A,platelet_supply_B,platelet_supply_O,platelet_supply_AB
2/18/2013,2711,760,733,1004,214,128.5,2582.5,4500,1550,1200,1450,300,2566.5,725.5,781,838,222,305,460,161,119,143,37,336.5,115,90.5,106.5,24.5
2/25/2013,4437.5,1373.5,1153,1537,374,1660,2777.5,4200,1550,1000,1400,250,3536.5,1075,881,1309.5,271,307,458.5,127,134,163,34.5,476,138,131,165,42
03/04/2013,4333,1307,1157,1508,361,1839,2494,4200,1550,1000,1400,250,3606,1102,1127.5,1116,260.5,330,480,129,138.5,162,50.5,526,165,141.5,176.5,43
03/11/2013,4713,1426.5,1231,1601,454.5,3137,1576,5200,1500,1000,1400,1300,3810.5,1177,1027.5,1242,364,282,423.5,130,123.5,132,38,459.5,137.5,126,148.5,47.5
3/18/2013,2751,829.5,734.5,959,228,1108.5,1642.5,5200,1500,1000,1400,1300,3882,1120.5,1111,1291,359.5,323,475.5,159,107,178,31.5,474,148,120,170,36
3/25/2013,2965.5,904.5,739.5,1039,282.5,1178.5,1787,5200,1500,1000,1400,1300,3695.5,1088.5,952,1265,390,357,502,151,151.5,150.5,49,494,156.5,142.5,154.5,40.5
04/01/2013,2366.5,745.5,639.5,795,186.5,125.5,2241,5200,1500,1000,1400,1300,3287,991,889.5,1111.5,295,284,417,138,111.5,141,26.5,546.5,181,145,177,43.5
04/08/2013,2413.5,836.5,698,879,240 ,715,1698.5,4550,1600,1100,1500,350,3692.5,1104,992.5,1280.5,315.5,342,494,145,119,178,52,430,131,97,163.5,38.5
4/15/2013,3403.5,1133.5,976,1294,363.5 ,735,2668.5,4550,1600,1100,1500,350,3416,861.5,1073,1205,276.5,360,523.5,161,159,168,35.5,484,151,128.5,169,35.5
4/22/2013,5093,1686.5,1437.5,1969,506 ,2675,2418,4300,1600,1000,1400,300,4162,1252.5,1062,1547.5,300,327,474.5,148.5,116.5,169.5,40,655,188,181,234.5,51.5
4/29/2013,3587,1183.5,1039.5,1364,349.5 ,556,3031,4050,1500,900,1400,250,3162.5,875,836,1215.5,236,359,513.5,168,139.5,170.5,35.5,464.5,155.5,121,151.5,36.5
05/06/2013,2274,963.5,867 ,1037,273.5,1291.5,982.5,4050,1500,900,1400,250,3868,1131,950.5,1442,344.5,299,424.5,124.5,115,156,29,411,119.5,121,151.5,19
5/13/2013,1636,666.5,662 ,761,208.5,755,881,4050,1500,900,1400,250,3631.5,1007,988,1351,285.5,312,452,136.5,119,157.5,39,448,136,107.5,160.5,44
5/20/2013,3045.5,926.5,829,997,293,1449,1596.5,4050,1500,800,1500,250,3868,1272.5,925.5,1337,333,329,451,150.5,132.5,133,35,519.5,162,153.5,173,31
5/27/2013,2763,803.5,737,984,238.5,1054.5,1708.5,4050,1500,800,1500,250,3623,1068.5,990,1285,279.5,338,468,144.5,122,173.5,28,479,146,119,166.5,47.5
06/03/2013,1945,608,503.5,668.5,165,614.5,1330.5,4050,1500,800,1500,250,3532.5,1131.5,856,1107,438,308,410,106,128.5,140,35.5,510,145,158,176.5,30.5
06/10/2013,4106,1219,1091,1401,395,161,3945,4050,1500,800,1500,250,3062,770,965,965,362,460,638,217.5,161,207,52.5,550.5,183.5,133,189,45
6/17/2013,3119.5,909,803.5,1117,290,1252,1867.5,4050,1500,800,1500,250,3461.5,1067,1005,1152.5,237,272,374.5,107,107,134,26.5,454,131,130,158.5,34.5
6/24/2013,5576.5,1690,1458.5,1902,526,3690,1886.5,3950,1500,750,1500,200,3786.5,1280,863.5,1365,278,368,527.5,177.5,149,175.5,25.5,484,158.5,130,156,39.5
07/01/2013,4328,1315.5,1164.5,1467,381,3038,1290,4100,1600,750,1550,200,3937.5,1092.5,1014.5,1431.5,399,325,472,154,144,148.5,25.5,530.5,162,163.5,185,20
07/08/2013,2753,855,705,974.5,218.5,1641,1112,4100,1600,750,1550,200,3781,1059,901.5,1410.5,410,328,462.5,131.5,120,169,42,465.5,150,126,150.5,39
7/15/2013,2660.5,856.5,641.5,915,247.5,1185,1475.5,4300,1600,900,1550,250,3582.5,1093.5,981,1184,324,330,476.5,144,134.5,172,26,485,130,143,175.5,36.5
7/22/2013,2566,777,664,902,223,1304,1262,4300,1600,900,1550,250,3327.5,1028,875.5,1131,293,266,385,112.5,110,131.5,31,451.5,131,121,166,33.5
7/29/2013,2419.5,737.5,650.5,842.5,189,1095,1324.5,4300,1600,900,1550,250,3070.5,898,948.5,948.5,275.5,315,444,138.5,126.5,145,34,429,125,126.5,143.5,34
08/05/2013,2348,709,664,783.5,191.5,806,1542,4450,1600,1000,1550,300,3076,839.5,1031.5,885,320,337,482,151,127.5,159.5,44,479.5,151,128,158.5,42
08/12/2013,2944,723,628,796.5,796.5,742.5,2201.5,4600,1600,1100,1550,350,2905.5,750.5,956,878,321,322,454.5,146.5,123,160,25,472.5,146.5,129,165.5,31.5
8/19/2013,2762,827.5,759.5,957,218,1276.5,1485.5,4600,1600,1100,1550,350,2931,746.5,1084.5,870,230,298,421.5,138.5,99.5,145.5,38,421,134,93,158.5,35.5
8/26/2013,2866.8,882.2,753.5,991.2,239.9,1014.5,1852.3,4600,1550,1200,1550,300,2768.5,817.5,803,933,215,314,453.6,124.2,136.1,153.4,39.9,478,142.6,132.7,162.9,39.8
09/02/2013,2701,831.95,746.85,915.7,206.5,1131.3,1569.7,4600,1550,1200,1550,300,3035,856,939.5,940,299.5,287,419.6,160.3,103,133.7,22.6,436.3,140.1,112.7,152.1,31.4
09/09/2013,3683.35,1074.3,966.9,1324.85,317.3,1806.6,1876.75,4600,1550,1200,1550,300,3051,912.5,759,1091.5,288,289,437,107.5,127.7,156,45.8,441.4,126.1,122.7,150.7,41.9
9/16/2013,3802.05,1095.45,1032.3,1303.3,371,991,2811.05,4600,1550,1200,1550,300,3365,1008,908.5,1197.5,251,390,599.2,185.6,154.1,205.4,54.1,634.4,181.3,171.2,220.6,61.3
9/23/2013,3836.65,1269.65,983.5,1261,322.5,2522.5,1314.15,4150,1400,1100,1400,250,3664,1109,930,1387,238,254,365.7,105.7,107.4,116,36.6,424,137.8,115,132.8,38.4
9/30/2013,3616.85,1130.6,940.7,1248.55,297,151,3465.85,4150,1400,1100,1400,250,2265,730,596,771.5,167.5,378,549.5,158.3,139.7,186.7,64.8,505.9,151.4,134.4,170.4,49.7
10/07/2013,1887.9,597.15,511.75,614,165,341.65,1546.25,4250,1400,1100,1500,250,3289,929,929,1158,273,295,435.7,114.9,115.5,158.1,47.2,420.4,98.7,122.7,156.3,42.7
10/14/2013,2844.6,819.2,763.85,1023.75,237.8,955.5,1889.1,4250,1400,1100,1500,250,3210.5,1006.5,868,999,337,337,455.9,152.5,124.9,144.3,34.2,450,142.7,114.6,147.8,44.9
10/21/2013,2544.65,819.2,728.55,728.55,268.35,992.5,1552.15,4250,1400,1100,1500,250,3407,1031,984,1106,286,291,412.1,119.7,110.5,144.3,37.6,468.5,138.6,134.4,157.1,38.4
10/28/2013,3209.5,952.7,832.05,1153.8,270.95,1442.75,1766.75,4450,1400,1300,1500,250,3251.5,952,930,1066.5,303,337,475.9,149.8,140.9,154.6,30.6,454.1,135.3,125.8,156.3,36.7
11/04/2013,3522.85,1064.25,882.75,1302.85,273,1573,1949.85,4450,1400,1300,1500,250,3276.5,1023.5,812.5,1169,271.5,326,458.8,132.3,126.3,172.1,28.1,504.3,155.4,152.3,167.6,29
11/11/2013,3793.85,1102.95,1032.15,1324.75,334,1948.45,1845.4,4450,1400,1300,1500,250,3470,1047.5,979,1202.5,241,329,466.9,123.5,119,189.6,34.8,455.3,110,115.5,199.7,30.1
11/18/2013,3770.8,1087,1024.8,1297.2,361.8,2300.75,1470.05,4450,1500,1200,1500,250,3642.5,1171,891.5,1254,326,295,414.8,134.1,105.4,136.6,38.7,466.9,151.2,115.4,159.2,41.1
11/25/2013,4277.75,1249.4,1133.25,1511.35,383.75,3086.5,1191.25,4200,1500,950,1500,250,3689,1199.5,709.5,1460,320,344,507.6,148.8,131.4,179.4,48,466.9,152.9,119,160.8,34.2
12/02/2013,2949.2,914.55,762.55,1007.6,264.5,1567.3,1381.9,4300,1500,1050,1500,250,3644.5,1025.5,970.5,1329.5,319,292,407.3,103.3,117.5,142.4,44.1,507,124.1,143.1,180.1,59.7
12/09/2013,2723.6,853.95,703.25,934.75,231.65,1691,1032.6,4050,1400,1000,1400,250,3027,909.5,805,1019,293.5,297,427.1,134.7,116.8,152.5,23.1,399.5,119.5,94,154.3,31.7
12/16/2013,3655,1151.5,969.2,1236.8,297.5,2292,1363,4050,1400,1000,1400,250,3171,893.5,840.5,1145,292,338,493.4,144.3,128.9,189.7,30.5,499.5,153.3,140.7,177.2,28.3
12/23/2013,2272.15,670.5,582.75,826.4,192.5,869.5,1402.65,4050,1400,1000,1400,250,3066,994,741.5,1041.5,289,272,408.6,136.6,91.6,142.8,37.6,497.8,157.8,107.6,191.6,40.8
12/30/2014,2518.95,779.15,687.1,818.85,233.85,81,2437.95,4050,1400,900,1500,250,3017.5,918,884.5,926,289,346,516.5,147.6,164,176.5,28.4,509.9,170.4,153.6,155.8,30.1
01/06/2014,3111.7,919.95,837.3,1085.45,269,1409.1,1702.6,4150,1400,1000,1500,250,3449.5,1043,1074.5,1073.5,258.5,301,472.5,145.4,107.5,184.8,34.8,461.9,126,114.1,188.9,32.9
1/13/2014,2766.8,818.5,710,998.8,239.5,885.2,1881.6,4150,1400,1000,1500,250,2875.5,783,827.5,990.5,274.5,347,525.2,182.1,118.6,182,42.5,519.6,185.7,124.5,177.5,31.9
1/20/2014,1892.4,573,495.25,671.1,153.05,407.15,1485.25,4200,1500,950,1500,250,2849,820.5,790,935,303.5,298,438.3,105.5,115,176.8,41,575,149.6,146.2,224.8,54.4
1/27/2014,3544.45,1093.75,962.3,1176.4,312,,3544.45,3300,1200,700,1200,200,2502,883,490,931,198,188,286.9,94,69.8,96.1,27,361.6,109.6,92.6,126.9,32.5
02/03/2014,1696.7,526,397,637.2,136.5,221,1475.7,2850,1000,600,1000,250,2023.5,600,492,675,256.5,207,303.7,106.9,79.3,98.8,18.7,269.9,103,68.6,74.1,24.2
02/10/2014,2155.75,669.3,480.35,808.5,197.6,98,2057.75,3750,1400,700,1400,250,2853,904.5,623,998,327.5,277,427.4,121.4,123.8,139.9,42.3,393.7,87.4,123.7,154.7,27.9
2/17/2014,3664.4,1071.85,926.35,1346.7,319.5,1648.1,2016.3,3950,1400,900,1400,250,3372,1005.5,871.5,1150.5,344.5,307,452.6,134.3,120.5,162.6,35.2,431.9,129.8,118.8,139.7,43.6
2/24/2014,3093.9,990.7,782.7,1072.5,248,1361.5,1732.4,4350,1500,1100,1500,250,3717,1134,1029.5,1253,300.5,305,462,133.5,139.7,154.8,34,499.8,146.3,149.4,163.4,40.7
03/03/2014,4242.25,1265.2,1121.7,1518.55,336.8,2253.2,1989.05,4350,1500,1100,1500,250,3715,1053,1177,1165.5,319.5,376,549.4,190.3,136,188.8,34.3,514.3,167.8,152.3,169.3,24.9
03/10/2014,4801.95,1461.95,1289.1,1622.4,428.5,2690.65,2111.3,4250,1500,1000,1500,250,3723,1204.5,893.5,1339,286,312,456.5,117.9,132.7,167.6,38.3,549,177.7,140.8,189.8,40.7
3/17/2014,3030.7,882,820.85,1030.15,297.7,1035.95,1994.75,4250,1500,1000,1500,250,3686.5,1143.5,1050.5,1205,287.5,272,409.8,138.1,105.9,147.6,18.2,499.1,139.2,142.7,175.4,41.8
3/24/2014,3118.35,956.65,823.35,1063.85,274.5,1089.15,2029.2,4250,1500,1000,1500,250,3446,1047,920.5,1158,320.5,303,451.4,133.3,113.6,163.3,41.2,493.3,151.9,132.1,176.1,33.2
3/31/2014,2953.5,915.9,811.9,991.7,234,662.5,2291,4150,1500,900,1500,250,3045,956,807,1027,255,341,490.3,148.2,148.1,163.2,30.8,522.6,156.4,145.5,183.9,36.8
04/07/2014,2698.15,814.45,714.75,938.95,230,683.2,2014.95,4150,1500,900,1500,250,3168,896,826,1121.5,324.5,363,523.2,183.4,139.3,170.8,29.7,496.2,153.7,152.9,158.6,31
4/14/2014,3774.95,1058.45,1030.45,1343.3,342.75,1545.25,2229.7,4300,1600,800,1600,300,3664,1128,902,1281.5,352.5,361,525.7,134.9,156.9,198.6,35.3,613.6,186,160.6,228.9,38.1
4/21/2014,2909.55,857.15,771.25,1057.15,224,1107,1802.55,4100,1700,700,1500,200,3374.5,999,933,1148.5,294,311,463.6,151.4,102.4,168,41.8,549.5,177.4,142.8,179.4,49.9
4/28/2014,3978.45,1185.6,1049.5,1340.2,403.15,1058.6,2919.85,3800,1700,400,1500,200,3342,1121.5,697.5,1267,256,302,462.6,139.4,128.8,154,40.4,558.8,161.4,149.1,207,41.3
05/05/2014,3764.3,1168.4,989.9,1306,300,1645.05,2119.25,3500,1500,400,1400,200,3555,1083,924.5,1253.5,294,313,461.2,133.7,126.8,161,39.7,366.1,109.1,107.6,115.3,34.1
05/12/2014,2975.5,875.7,794.5,1050.3,255,1267.2,1708.3,3600,1600,400,1400,200,3896,1163.5,1030.5,1317,385,328,489.1,147.4,125.5,173.6,42.6,527.8,163.3,132.5,191,41
5/19/2014,4968.75,1494.9,1337.35,1682.9,453.6,2801.05,2167.7,3600,1600,400,1400,200,3861.5,1218,993,1303,347.5,351,544.1,165.5,167.1,171.7,39.8,533,162.7,155.9,171.6,42.8
5/26/2014,2576.55,759.65,759.65,822.25,235,661.55,1915,3600,1600,400,1400,200,3363,941,872,1241,309,318,476.3,143.7,125.1,158.8,48.7,562.8,169.7,153.3,189.9,49.9
06/02/2014,2341.7,737.7,628.45,784.8,190.75,363.5,1978.2,4000,1700,400,1700,200,2995,876.5,863,972,283.5,299,449.6,148.5,134,144.1,23,450.8,142.6,142.3,131.9,34
06/09/2014,3457.5,1046.15,946.35,1135.5,329.5,780.1,2677.4,3400,1400,400,1400,200,2965,835,950,911.5,268.5,354,534,159.9,159.1,179,36,530.3,149.8,165.1,178.6,36.8
6/16/2014,2959.05,897.15,778.9,1030.2,252.8,1161.1,1797.95,3500,1400,400,1500,200,3575.5,1075,1103,1137.5,260,301,441.4,146,119.7,147.5,28.2,561.4,183.5,170.1,170.5,37.3
6/23/2014,5241.05,1626.7,1372.25,1822.65,419.45,3258.7,1982.35,3500,1200,800,1300,200,5741,1469.5,1013.5,1629,1629,301,486.9,146,113.2,173.8,53.9,469.5,139.4,98.6,190.4,41.1
6/30/2014,5245.3,1736.6,1458.15,1954.55,96,3818.25,1427.05,3500,1200,800,1300,200,3882,1262.5,874.5,1389.5,355.5,300,449.2,141.2,130.7,141.8,35.5,507.1,168.2,137.2,154,47.7
07/07/2014,6095.1,2088.95,1183.7,2344,478.45,2216.1,3879,3450,1100,800,1300,250,4100,1301.5,946,1571,281.5,437,636.6,199.3,164.7,222.2,50.4,619.1,191.1,165.8,216.5,45.7
7/14/2014,3988.3,1241.4,1064.8,1358.6,323.5,2206.2,1782.1,3600,1100,1000,1200,300,4055,1212,1004.5,1514.5,324,312,470,155.7,131.4,150,32.9,540,182.2,134,179.1,44.7
7/21/2014,2002.5,674.15,500.5,649.25,178.6,521.25,1481.25,3600,1000,1000,1300,300,3688.5,952.5,1065.5,1335.5,335,336,497.1,162.8,137.5,152.2,44.6,459.9,134.1,132.2,151.9,41.7
7/28/2014,1922.55,582.25,466.3,700.5,173.5,359,1563.55,3350,1000,900,1200,250,3450,1087,889.5,1179.5,294,411,581.5,169.3,140.4,218,53.8,581.2,186.9,137.2,202.8,54.3
08/04/2014,2802.15,822.85,769.5,969.3,240.5,1483.05,1319.1,3500,1000,1000,1200,300,3507.5,1090.5,931,1090,396,406,543.2,186.9,143.5,166.4,46.4,563.2,165.5,159.4,192.5,45.8
08/11/2014,2621,798,686.3,920.2,216.5,1020.5,1600.5,3800,1200,1100,1200,300,3893.5,1312,1174.5,1107,300,304,427.2,138,111.3,158.7,19.2,483,167.9,118.6,165.2,31.3
8/18/2014,2958.6,905.75,725,1045.6,282.25,1199.85,1758.75,3500,1000,1100,1100,300,3490.5,1061.5,1110.5,975,343.5,368,503.1,151.9,142.5,161.5,47.2,483.2,150.8,136.4,153.8,42.2
8/25/2014,3685.9,1096,996.95,1238.65,354.3,2063.5,1622.4,3600,1100,900,1300,300,3665.5,1112.5,860,1394.5,298.5,332,480.3,159.1,127.4,157.6,36.2,529.2,162.4,142.6,180.1,44.1
09/01/2014,2617.65,881.55,629.35,924.25,182.5,555.7,2061.95,3500,1100,900,1200,300,3301,972.5,872,1111,345.5,324,454.1,138.6,119.1,150.7,45.7,487.5,160.6,126.1,163.3,37.5
09/08/2014,3787.05,1168.2,1023,1281.7,314.15,1917.85,1869.2,3200,1000,800,1100,300,3131.5,965.5,817,1057,292,357,510.8,175.7,125.2,170,39.9,513.3,164.6,131.2,164,53.5
9/15/2014,2517.95,748.25,646,918.2,205.5,725.6,1792.35,3200,950,1000,950,300,3517.5,975.5,1040,1104,398,339,462.5,141.1,137.5,149.2,34.7,465.9,145.3,133,157,30.6
9/22/2014,4113,1268.55,1114.3,1395.9,334.25,2147.7,1965.3,3000,950,800,950,300,3345,1051.5,895.5,1108,290,311,447.2,158.8,104.7,150.8,32.9,494.3,163.8,123.1,161.6,45.8
9/29/2014,2825.5,850.25,766.15,943.95,265.15,269.5,2556,3400,1000,1000,1100,300,2901,869.5,790,955.5,286,378,546.7,169.7,141.9,181.4,53.7,557,189.9,134.9,181.3,50.9
10/06/2014,2458.65,709.65,698.7,863.8,186.5,110.5,2348.15,3250,900,1100,1000,250,3184.5,891.5,1050,963.5,279.5,357,527.5,162.4,145.4,179.3,40.4,509.7,150.6,143.2,166.9,49
10/13/2014,4331.6,1253.65,1183,1530.65,364.3,1955.95,2375.65,3450,1100,1000,1100,250,3534,1124.5,918,1232.5,259,386,545.3,172.4,147,191.7,34.2,506.3,154,140.3,183.4,28.6
10/20/2014,3883.45,1169.3,1003.45,1355.65,355.05,1749.25,2134.2,3750,1200,1100,1200,250,4019,1204,1085.5,1434,295.5,428,593.9,174.4,155.8,213,50.7,645.4,202.1,159.8,226.5,57
10/27/2014,3059.05,913.85,842,1058.25,244.95,1485.6,1573.45,3400,1000,1000,1100,300,3581.5,1067.5,947.5,1262,304.5,385,489.1,154,109.4,177.7,48,513.1,151.6,130.4,194.1,37
11/03/2014,2966.15,858.05,829.85,1028.75,249.5,1258.1,1708.05,3300,1000,900,1100,300,3067,828.5,839.5,1011,388,393,480.7,160.8,140,145.9,34,525.4,172.6,134.5,169,49.3
11/10/2014,6255.7,1858.4,1713.15,2166.65,517.5,3993.6,2262.1,3600,1200,1000,1200,200,4334.5,1545,854.5,1631.5,303.5,361,464,116.4,133.5,180.7,33.4,464.5,123.8,129.4,178.2,33.1
11/17/2014,4730,1428.2,1244.15,1662.75,394.9,2960.85,1769.15,3900,1200,1000,1400,300,4070.5,1282.5,967.5,1515.5,305,386,491.2,161.2,140.8,150.6,38.6,491.8,158.8,139.4,154.7,38.9
11/24/2014,5885.2,1401.4,1230,1626.9,1626.9,3296.05,2589.15,3550,1000,900,1300,350,3680,1064,928.5,1324.5,363,396,532.6,151.7,156.6,168.1,56.2,581.1,181.9,162,187.6,49.6
12/01/2014,3266.05,936.2,920.65,1113.2,296,1837.1,1428.95,3700,1100,1000,1300,300,3953.5,1128.5,1044.5,1422,358.5,425,600.5,165.9,158.8,225.4,50.4,588.7,162.8,170.3,190.2,65.4
